Link type,Source URL,Source HTTP status code,Is link self-referencing,Anchor,Alt attribute,Is nofollow,Is UGC,Is sponsored
Canonical,https://jbadvocacia.roilabs.com.br/conteudo/negociacao-estrategica-contratos,200,false,,,false,false,false
Canonical,https://jbadvocacia.roilabs.com.br/servicos/estruturacao-societaria,200,false,,,false,false,false
Canonical,https://jbadvocacia.roilabs.com.br/,200,true,,,false,false,false
Canonical,https://jbadvocacia.roilabs.com.br/sobre,200,false,,,false,false,false
Redirect,http://jbadvocacia.roilabs.com.br/,308,false,,,false,false,false
Canonical,https://jbadvocacia.roilabs.com.br/conteudo/gestao-contratos-lucratividade,200,false,,,false,false,false
Canonical,https://jbadvocacia.roilabs.com.br/conteudo/due-diligence-checklist,200,false,,,false,false,false
Canonical,https://jbadvocacia.roilabs.com.br/servicos/due-diligence,200,false,,,false,false,false
Canonical,https://jbadvocacia.roilabs.com.br/conteudo/contrato-social-acordo-socios,200,false,,,false,false,false
Canonical,https://jbadvocacia.roilabs.com.br/servicos/gestao-contratos,200,false,,,false,false,false
Canonical,https://jbadvocacia.roilabs.com.br/conteudo/pops-ambiente-corporativo,200,false,,,false,false,false
Canonical,https://jbadvocacia.roilabs.com.br/conteudo/importancia-due-diligence-ma,200,false,,,false,false,false
Canonical,https://jbadvocacia.roilabs.com.br/servicos/direito-agronegocio,200,false,,,false,false,false
Canonical,https://jbadvocacia.roilabs.com.br/conteudo/passivos-trabalhistas-prevencao,200,false,,,false,false,false
Canonical,https://jbadvocacia.roilabs.com.br/conteudo/clausulas-essenciais-contratos,200,false,,,false,false,false
Canonical,https://jbadvocacia.roilabs.com.br/contato,200,false,,,false,false,false
Canonical,https://jbadvocacia.roilabs.com.br/conteudo/contratos-empresariais-clausulas-essenciais,200,false,,,false,false,false
Canonical,https://jbadvocacia.roilabs.com.br/conteudo/contrato-parceria-agronegocio,200,false,,,false,false,false
Canonical,https://jbadvocacia.roilabs.com.br/conteudo/sociedade-50-50-riscos,200,false,,,false,false,false
Canonical,https://jbadvocacia.roilabs.com.br/servicos/consultoria-juridica-estrategica,200,false,,,false,false,false
Canonical,https://jbadvocacia.roilabs.com.br/servicos,200,false,,,false,false,false
Canonical,https://jbadvocacia.roilabs.com.br/conteudo,200,false,,,false,false,false
