Source URL,Link type,Source HTTP status code,Is link self-referencing
https://jbadvocacia.roilabs.com.br/conteudo/negociacao-estrategica-contratos,Canonical,200,false
https://jbadvocacia.roilabs.com.br/servicos/estruturacao-societaria,Canonical,200,false
https://jbadvocacia.roilabs.com.br/,Canonical,200,true
https://jbadvocacia.roilabs.com.br/sobre,Canonical,200,false
https://jbadvocacia.roilabs.com.br/conteudo/gestao-contratos-lucratividade,Canonical,200,false
https://jbadvocacia.roilabs.com.br/conteudo/due-diligence-checklist,Canonical,200,false
https://jbadvocacia.roilabs.com.br/servicos/due-diligence,Canonical,200,false
https://jbadvocacia.roilabs.com.br/conteudo/contrato-social-acordo-socios,Canonical,200,false
https://jbadvocacia.roilabs.com.br/servicos/gestao-contratos,Canonical,200,false
https://jbadvocacia.roilabs.com.br/conteudo/pops-ambiente-corporativo,Canonical,200,false
https://jbadvocacia.roilabs.com.br/conteudo/importancia-due-diligence-ma,Canonical,200,false
https://jbadvocacia.roilabs.com.br/servicos/direito-agronegocio,Canonical,200,false
https://jbadvocacia.roilabs.com.br/conteudo/passivos-trabalhistas-prevencao,Canonical,200,false
https://jbadvocacia.roilabs.com.br/conteudo/clausulas-essenciais-contratos,Canonical,200,false
https://jbadvocacia.roilabs.com.br/contato,Canonical,200,false
https://jbadvocacia.roilabs.com.br/conteudo/contratos-empresariais-clausulas-essenciais,Canonical,200,false
https://jbadvocacia.roilabs.com.br/conteudo/contrato-parceria-agronegocio,Canonical,200,false
https://jbadvocacia.roilabs.com.br/conteudo/sociedade-50-50-riscos,Canonical,200,false
https://jbadvocacia.roilabs.com.br/servicos/consultoria-juridica-estrategica,Canonical,200,false
https://jbadvocacia.roilabs.com.br/servicos,Canonical,200,false
https://jbadvocacia.roilabs.com.br/conteudo,Canonical,200,false
